Review,Score,"Are there ways for you to generate more data? Spliting up sentences, would that help?",Language
Filem ini hebat! Aksi yang mendebarkan dan plot yang mengejutkan.,0.1,,Malay
"Sayang sekali, pelakon tidak memberikan persembahan terbaik. Kurang puas hati.",0.8,,Malay
Jalan cerita yang kompleks dan penuh emosi. Sungguh menghiburkan!,0.2,,Malay
Pembuat filem berjaya memberikan pengalaman yang tidak terlupakan. Sungguh memukau!,0.05,,Malay
Adegan aksi yang terlalu banyak dan mengejutkan. Terkadang agak terlalu banyak.,0.4,,Malay
Saya teruja sepanjang filem. Penceritaan yang menarik!,0.15,,Malay
Avengers: Endgame mengecewakan dan membosankan. Terlalu banyak klise.,0.85,,Malay
Integrasi elemen fiksyen sains sangat menarik. Saya suka!,0.25,,Malay
Filem ini mengujakan dengan nuansa emosi yang mendalam.,0.12,,Malay
"Secara keseluruhan, pengalaman sinematik yang luar biasa. Saya kagum!",0.08,,Malay
Saya kira filem ini tidak sehebat yang diperkatakan. Rasa kurang puas hati.,0.7,,Malay
Aksi yang menakjubkan dan plot yang penuh kejutan. Saya kagum!,0.12,,Malay
Kualiti visual filem ini sungguh mengagumkan. Saya teruja!,0.15,,Malay
Saya kurang suka cara pelakon utama menyampaikan dialog. Kurang menyakinkan.,0.75,,Malay
Jalan cerita yang rumit tetapi sangat menarik. Saya suka!,0.2,,Malay
Adegan aksi yang terlalu dramatik dan berlebihan. Tidak realistik.,0.6,,Malay
Filem ini benar-benar membuat saya terbawa suasana. Saya kagum dengan keseluruhan produksi.,0.1,,Malay
Pelakon memberikan persembahan yang hebat. Saya suka cerita ini!,0.15,,Malay
Saya tidak faham dengan plot filem ini. Terlalu kompleks.,0.7,,Malay
Kejutan besar dalam plot! Aksi yang memukau sepanjang filem.,0.1,,Malay
Visual effects hebat tetapi plot kurang menarik. Saya rasa bosan.,0.6,,Malay
Saya tidak suka bagaimana filem ini berakhir. Tidak memuaskan.,0.8,,Malay
Filem ini membuat saya gelak dan menangis. Suka dengan perasaan yang disampaikan.,0.15,,Malay
Pelakon tidak berjaya membawa watak dengan baik. Kurang kredibel.,0.7,,Malay
"Keseluruhan, filem ini hebat! Saya akan menontonnya lagi.",0.08,,Malay
Adegan aksi yang luar biasa. Saya rasa teruja sepanjang masa.,0.12,,Malay
"Sayang sekali, plot filem ini terlalu terbuka. Tidak ada penyelesaian yang memuaskan.",0.7,,Malay
Saya suka cara filem ini menggabungkan komedi dengan aksi. Sangat menghiburkan.,0.15,,Malay
Kualiti visual dan efek khas filem ini luar biasa. Saya terkesan!,0.1,,Malay
Pelakon memberikan persembahan yang sangat baik. Saya suka jalan ceritanya.,0.15,,Malay
Filem ini sangat mengecewakan. Tidak sepadan dengan hype.,0.8,,Malay
Plot yang rumit tetapi menarik. Adegan akhir yang epik!,0.1,,Malay
Adegan aksi yang terlalu berlebihan. Terlalu banyak efek khas.,0.6,,Malay
Saya tidak faham dengan twist dalam plot. Sedikit keliru.,0.7,,Malay
Filem ini benar-benar menggetarkan perasaan. Saya suka sekali!,0.12,,Malay
Visual effects filem ini luar biasa. Teruja dengan kehebatan teknikal.,0.1,,Malay
Kurangnya pengembangan watak membuatkan filem ini lemah. Tidak memuaskan.,0.75,,Malay
Saya teruja dengan cara filem ini menggabungkan elemen fiksyen sains.,0.2,,Malay
Plot yang menarik dan penuh kejutan. Saya suka twist dalam cerita.,0.15,,Malay
Filem ini mempunyai kekuatan emosional yang besar. Menyentuh hati!,0.12,,Malay
Pelakon memberikan persembahan yang tidak memuaskan. Tidak kredibel.,0.75,,Malay
Jalan cerita yang agak biasa tetapi dihidupkan dengan aksi yang hebat.,0.25,,Malay
Adegan akhir yang sangat epik! Saya teruja dengan penutupan trilogi ini.,0.08,,Malay
Filem ini hebat! Saya suka dengan pengembangan watak.,0.1,,Malay
Saya tidak suka dengan jalan cerita yang terlalu kompleks. Tidak dapat diikuti.,0.7,,Malay
Sangat gembira dengan filem ini. Aksi yang mengagumkan!,0.12,,Malay
Plot yang rumit tetapi sangat menarik. Kejutan besar di penghujung!,0.08,,Malay
Visual effects filem ini benar-benar luar biasa. Saya terkesan!,0.1,,Malay
Perasaan yang mendalam dalam filem ini membuatkan saya terharu. Saya suka!,0.12,,Malay
Kurangnya ketegangan dalam plot membuatkan saya bosan. Tidak ada elemen kejutan.,0.7,,Malay
Filem ini memberikan jawapan kepada banyak pertanyaan. Saya suka twistnya.,0.15,,Malay
Kejutan besar di tengah-tengah filem! Aksi yang mendebarkan!,0.12,,Malay
Visual effects dan animasi filem ini sungguh mengagumkan. Terkesan!,0.1,,Malay
Pelakon memberikan persembahan yang sangat baik. Saya suka dengan penutupan ceritanya.,0.12,,Malay
Filem ini tidak sehebat yang saya jangkakan. Terlalu banyak klise.,0.7,,Malay
Aksi yang menegangkan sepanjang filem. Saya teruja!,0.12,,Malay
Saya suka dengan cara filem ini menggabungkan aksi dengan unsur komedi.,0.15,,Malay
Plot yang rumit dan penuh misteri. Sangat menarik!,0.15,,Malay
Pelakon utama memberikan persembahan yang luar biasa. Saya suka karakternya.,0.12,,Malay
Filem ini mengecewakan dan tidak sepadan dengan waktu saya. Terlalu biasa.,0.8,,Malay
Twist besar di penghujung filem membuat saya terkejut. Suka dengan plot twistnya.,0.1,,Malay
Visual effects dan desain produksi filem ini luar biasa. Saya terkesan!,0.1,,Malay
Pelakon-pelakon memberikan persembahan yang luar biasa. Saya suka cerita ini!,0.12,,Malay
Aksi yang mendebarkan tetapi plot agak lemah. Tidak seimbang.,0.5,,Malay
Saya teruja dengan cara filem ini membawa kembali elemen-elemen dari filem sebelumnya.,0.15,,Malay
Kualiti visual dan efek khas filem ini luar biasa. Terkesan!,0.1,,Malay
Kurangnya pengembangan watak membuatkan filem ini lemah. Tidak memuaskan.,0.75,,Malay
Saya teruja dengan cara filem ini menggabungkan elemen fiksyen sains.,0.2,,Malay
Plot yang menarik dan penuh kejutan. Saya suka twist dalam cerita.,0.15,,Malay
Filem ini mempunyai kekuatan emosional yang besar. Menyentuh hati!,0.12,,Malay
Pelakon memberikan persembahan yang tidak memuaskan. Tidak kredibel.,0.75,,Malay
Jalan cerita yang agak biasa tetapi dihidupkan dengan aksi yang hebat.,0.25,,Malay
Adegan akhir yang sangat epik! Saya teruja dengan penutupan trilogi ini.,0.08,,Malay
Filem ini hebat! Saya suka dengan pengembangan watak.,0.1,,Malay
Saya tidak suka dengan jalan cerita yang terlalu kompleks. Tidak dapat diikuti.,0.7,,Malay
Sangat gembira dengan filem ini. Aksi yang mengagumkan!,0.12,,Malay
Plot yang rumit tetapi sangat menarik. Kejutan besar di penghujung!,0.08,,Malay
Visual effects filem ini benar-benar luar biasa. Saya terkesan!,0.1,,Malay
Perasaan yang mendalam dalam filem ini membuatkan saya terharu. Saya suka!,0.12,,Malay
Kurangnya ketegangan dalam plot membuatkan saya bosan. Tidak ada elemen kejutan.,0.7,,Malay
Filem ini memberikan jawapan kepada banyak pertanyaan. Saya suka twistnya.,0.15,,Malay
Kejutan besar di tengah-tengah filem! Aksi yang mendebarkan!,0.12,,Malay
Visual effects dan animasi filem ini sungguh mengagumkan. Terkesan!,0.1,,Malay
Pelakon memberikan persembahan yang sangat baik. Saya suka dengan penutupan ceritanya.,0.12,,Malay
Filem ini tidak sehebat yang saya jangkakan. Terlalu banyak klise.,0.7,,Malay
Aksi yang menegangkan sepanjang filem. Saya teruja!,0.12,,Malay
Saya suka dengan cara filem ini menggabungkan aksi dengan unsur komedi.,0.15,,Malay
Plot yang rumit dan penuh misteri. Sangat menarik!,0.15,,Malay
Pelakon utama memberikan persembahan yang luar biasa. Saya suka karakternya.,0.12,,Malay
Filem ini mengecewakan dan tidak sepadan dengan waktu saya. Terlalu biasa.,0.8,,Malay
Twist besar di penghujung filem membuat saya terkejut. Suka dengan plot twistnya.,0.1,,Malay
Visual effects dan desain produksi filem ini luar biasa. Saya terkesan!,0.1,,Malay
Pelakon-pelakon memberikan persembahan yang luar biasa. Saya suka cerita ini!,0.12,,Malay
Aksi yang mendebarkan tetapi plot agak lemah. Tidak seimbang.,0.5,,Malay
Saya teruja dengan cara filem ini membawa kembali elemen-elemen dari filem sebelumnya.,0.15,,Malay
Filem ini mengagumkan! Aksi yang memukau dan plot yang menarik.,0.08,,Malay
Saya kecewa dengan persembahan pelakon. Tidak memuaskan.,0.7,,Malay
Jalan cerita yang menyentuh hati dan penuh emosi. Saya suka!,0.12,,Malay
Filem ini memberikan pengalaman yang luar biasa. Sungguh memukau!,0.05,,Malay
Adegan aksi yang terlalu banyak dan kadang-kadang tidak perlu. Terlalu dramatik.,0.4,,Malay
Saya teruja dengan setiap detik filem ini. Penceritaan yang menarik!,0.15,,Malay
Avengers: Endgame mengecewakan dan terlalu klise. Tidak menyeronokkan.,0.85,,Malay
Saya suka cara filem ini menggabungkan elemen fiksyen sains. Menarik!,0.25,,Malay
Filem ini benar-benar mengesankan dengan perasaan yang mendalam.,0.12,,Malay
Pengalaman sinematik yang tidak dapat dilupakan. Saya kagum!,0.1,,Malay
Saya rasa filem ini tidak mencapai standard yang dijangkakan. Tidak memuaskan.,0.75,,Malay
Aksi yang mengagumkan dan plot yang penuh kejutan. Saya terkesan!,0.12,,Malay
Kualiti visual filem ini sungguh mengagumkan. Teruja dengan efek khasnya!,0.1,,Malay
Saya tidak puas hati dengan cara pelakon utama menyampaikan dialog. Kurang menyakinkan.,0.8,,Malay
Jalan cerita yang rumit tetapi sangat menarik. Saya suka!,0.2,,Malay
Adegan aksi yang dramatik dan berkesan. Terlalu banyak efek khas.,0.6,,Malay
Filem ini memukau dengan suasana yang dihasilkan. Saya kagum!,0.1,,Malay
Pelakon memberikan persembahan yang cemerlang. Saya suka cerita ini!,0.15,,Malay
Saya tidak faham dengan plot filem ini. Terlalu kompleks.,0.7,,Malay
Kejutan besar dalam plot! Aksi yang mendebarkan sepanjang masa.,0.1,,Malay
Visual effects filem ini sungguh memukau. Saya terkesan!,0.1,,Malay
Plot yang terbuka dan kurang memuaskan. Tidak ada penyelesaian yang memuaskan.,0.7,,Malay
Filem ini membuat saya tertawa dan menangis. Suka dengan perasaan yang disampaikan.,0.15,,Malay
Saya tidak suka bagaimana filem ini berakhir. Tidak memuaskan.,0.75,,Malay
Filem ini membuat saya gelak dan menangis. Suka dengan perasaan yang disampaikan.,0.2,,Malay
Pelakon tidak berjaya membawa watak dengan baik. Kurang kredibel.,0.69,,Malay
"Keseluruhan, filem ini hebat! Saya akan menontonnya lagi.",0.08,,Malay
Pelakon tidak berjaya membawa watak dengan baik. Tidak kredibel.,0.7,,Malay
"Keseluruhan, filem ini hebat! Saya akan menontonnya lagi.",0.25,,Malay
Adegan aksi yang luar biasa. Teruja dengan penutupan trilogi ini.,0.12,,Malay
"Sayang sekali, plot filem ini terlalu terbuka. Tidak ada penutupan yang memuaskan.",0.7,,Malay
Saya suka cara filem ini menggabungkan komedi dengan aksi. Sangat menghiburkan.,0.15,,Malay
Visual effects dan animasi filem ini sangat mengagumkan. Terkesan!,0.1,,Malay
Pelakon memberikan persembahan yang sangat baik. Saya suka karakternya.,0.12,,Malay
Filem ini sangat mengecewakan. Tidak sepadan dengan hype.,0.8,,Malay
Plot yang rumit tetapi sangat menarik. Twist besar di penghujung!,0.1,,Malay
Adegan aksi yang terlalu berlebihan. Terlalu banyak efek khas.,0.6,,Malay
Saya tidak faham dengan twist dalam plot. Sedikit keliru.,0.7,,Malay
Filem ini menarik dan memberikan pengalaman yang mendalam. Saya suka!,0.12,,Malay
Visual effects filem ini luar biasa. Teruja dengan kehebatan teknikal.,0.1,,Malay
Kurangnya pengembangan watak membuat filem ini lemah. Tidak memuaskan.,0.75,,Malay
Saya teruja dengan cara filem ini menggabungkan elemen fiksyen sains.,0.2,,Malay
Plot yang menarik dan penuh kejutan. Saya suka twist dalam cerita.,0.15,,Malay
Filem ini mempunyai kekuatan emosional yang besar. Menyentuh hati!,0.12,,Malay
Pelakon memberikan persembahan yang tidak memuaskan. Tidak kredibel.,0.75,,Malay
Jalan cerita yang agak biasa tetapi dihidupkan dengan aksi yang hebat.,0.25,,Malay
Adegan akhir yang sangat epik! Saya teruja dengan penutupan trilogi ini.,0.08,,Malay
Filem ini hebat! Saya suka dengan pengembangan watak.,0.1,,Malay
Saya tidak suka dengan jalan cerita yang terlalu kompleks. Tidak dapat diikuti.,0.7,,Malay
Sangat gembira dengan filem ini. Aksi yang mengagumkan!,0.12,,Malay
Plot yang rumit tetapi sangat menarik. Kejutan besar di penghujung!,0.08,,Malay
Visual effects filem ini benar-benar luar biasa. Saya terkesan!,0.1,,Malay
Perasaan yang mendalam dalam filem ini membuatkan saya terharu. Saya suka!,0.12,,Malay
Kurangnya ketegangan dalam plot membuatkan saya bosan. Tidak ada elemen kejutan.,0.7,,Malay
Filem ini memberikan jawapan kepada banyak pertanyaan. Saya suka twistnya.,0.15,,Malay
Kejutan besar di tengah-tengah filem! Aksi yang mendebarkan!,0.12,,Malay
Visual effects dan animasi filem ini sungguh mengagumkan. Terkesan!,0.1,,Malay
Pelakon memberikan persembahan yang luar biasa. Saya suka cerita ini!,0.12,,Malay
Aksi yang mendebarkan tetapi plot agak lemah. Tidak seimbang.,0.5,,Malay
Saya teruja dengan cara filem ini membawa kembali elemen-elemen dari filem sebelumnya.,0.15,,Malay
Filem ini benar-benar membuat saya terbawa suasana. Saya kagum dengan keseluruhan produksi.,0.1,,Malay
Pelakon memberikan persembahan yang hebat. Saya suka cerita ini!,0.15,,Malay
Saya tidak faham dengan plot filem ini. Terlalu kompleks.,0.7,,Malay
Kejutan besar dalam plot! Aksi yang memukau sepanjang filem.,0.1,,Malay
Visual effects hebat tetapi plot kurang menarik. Saya rasa bosan.,0.6,,Malay
Adegan aksi yang luar biasa. Saya rasa teruja sepanjang masa.,0.12,,Malay
"Sayang sekali, plot filem ini terlalu terbuka. Tidak ada penyelesaian yang memuaskan.",0.7,,Malay
Saya suka cara filem ini menggabungkan komedi dengan aksi. Sangat menghiburkan.,0.15,,Malay
Kualiti visual dan efek khas filem ini luar biasa. Saya terkesan!,0.1,,Malay
Pelakon memberikan persembahan yang sangat baik. Saya suka jalan ceritanya.,0.15,,Malay
Filem ini sangat mengecewakan. Tidak sepadan dengan hype.,0.8,,Malay
Filem ini menggemparkan! Aksi yang luar biasa dan plot yang mengagumkan.,0.08,,Malay
Saya kecewa dengan persembahan pelakon. Tidak memuaskan.,0.7,,Malay
Jalan cerita yang penuh misteri dan mendalam. Sungguh menarik!,0.12,,Malay
Filem ini memberikan pengalaman yang luar biasa. Saya terpesona!,0.05,,Malay
Adegan aksi yang terlalu banyak dan tidak perlu. Terkadang mengganggu.,0.4,,Malay
Saya terkesan dengan setiap aspek filem ini. Penceritaan yang menarik!,0.15,,Malay
Avengers: Endgame mengecewakan dan terlalu klise. Kurang memuaskan.,0.85,,Malay
Saya suka cara filem ini menggabungkan elemen fiksyen sains. Sangat menarik!,0.25,,Malay
Filem ini benar-benar mengesankan dengan nuansa emosional yang mendalam.,0.12,,Malay
Pengalaman sinematik yang tak terlupakan. Saya kagum!,0.1,,Malay
Saya rasa filem ini tidak mencapai standard yang dijangkakan. Tidak memuaskan.,0.75,,Malay
Aksi yang mengejutkan dan plot yang penuh kejutan. Saya terkesan!,0.12,,Malay
Kualiti visual filem ini sungguh mengagumkan. Teruja dengan efek khasnya!,0.1,,Malay
Saya tidak puas hati dengan cara pelakon utama menyampaikan dialog. Kurang meyakinkan.,0.8,,Malay
Jalan cerita yang kompleks tetapi sangat menarik. Saya suka!,0.2,,Malay
Adegan aksi yang dramatis dan berkesan. Terlalu banyak efek khas.,0.6,,Malay
Filem ini memukau dengan suasana yang dihasilkan. Saya kagum!,0.1,,Malay
Pelakon memberikan persembahan yang cemerlang. Saya suka cerita ini!,0.15,,Malay
Saya tidak faham dengan plot filem ini. Terlalu kompleks.,0.7,,Malay
Kejutan besar dalam plot! Aksi yang mendebarkan sepanjang masa.,0.1,,Malay
Visual effects filem ini sungguh memukau. Saya terkesan!,0.1,,Malay
Plot yang terbuka dan kurang memuaskan. Tidak ada penyelesaian yang memuaskan.,0.7,,Malay
Filem ini membuat saya tertawa dan menangis. Suka dengan perasaan yang disampaikan.,0.15,,Malay
Pelakon tidak berjaya membawa watak dengan baik. Tidak kredibel.,0.7,,Malay
"Keseluruhan, filem ini hebat! Saya akan menontonnya lagi.",0.08,,Malay
Adegan aksi yang luar biasa. Teruja dengan penutupan trilogi ini.,0.12,,Malay
"Sayang sekali, plot filem ini terlalu terbuka. Tidak ada penutupan yang memuaskan.",0.7,,Malay
Saya suka cara filem ini menggabungkan komedi dengan aksi. Sangat menghiburkan.,0.15,,Malay
Visual effects dan animasi filem ini sangat mengagumkan. Terkesan!,0.1,,Malay
Pelakon memberikan persembahan yang sangat baik. Saya suka karakternya.,0.12,,Malay
Filem ini sangat mengecewakan. Tidak sepadan dengan hype.,0.8,,Malay
Plot yang rumit tetapi sangat menarik. Twist besar di penghujung!,0.1,,Malay
Adegan aksi yang terlalu berlebihan. Terlalu banyak efek khas.,0.6,,Malay
Saya tidak faham dengan twist dalam plot. Sedikit keliru.,0.7,,Malay
Filem ini menarik dan memberikan pengalaman yang mendalam. Saya suka!,0.12,,Malay
Visual effects filem ini luar biasa. Teruja dengan kehebatan teknikal.,0.1,,Malay
Kurangnya pengembangan watak membuat filem ini lemah. Tidak memuaskan.,0.75,,Malay
Saya teruja dengan cara filem ini menggabungkan elemen fiksyen sains.,0.2,,Malay
"This movie is amazing! The action is breathtaking, and the plot is intriguing.",0.08,,English
I'm disappointed with the actors' performance. Not satisfying.,0.7,,English
The storyline is touching and full of emotion. I love it!,0.12,,English
This movie delivers an outstanding experience. Truly captivating!,0.05,,English
"Too many action scenes, sometimes unnecessary. Too dramatic.",0.4,,English
I'm thrilled throughout the movie. Engaging storytelling!,0.15,,English
Avengers: Endgame is disappointing and too cliché. Not enjoyable.,0.85,,English
I like how this movie combines elements of science fiction. Interesting!,0.25,,English
This film is truly impressive with deep emotional tones.,0.12,,English
A cinematic experience that is unforgettable. I'm impressed!,0.1,,English
I feel this movie didn't meet the expected standards. Not satisfying.,0.75,,English
Amazing action and a plot full of surprises. I'm impressed!,0.12,,English
The visual quality of this film is astonishing. Excited about its special effects!,0.1,,English
I'm not satisfied with how the main actors deliver their lines. Not convincing.,0.8,,English
The storyline is complex but very interesting. I like it!,0.2,,English
Dramatic and impactful action scenes. Too many special effects.,0.6,,English
This film captivates with the atmosphere it creates. I'm impressed!,0.1,,English
The actors give excellent performances. I like this story!,0.15,,English
I don't understand the plot of this film. Too complex.,0.7,,English
A big surprise in the plot! Thrilling action throughout.,0.1,,English
The visual effects of this film are truly captivating. I'm impressed!,0.1,,English
An open-ended and unsatisfying plot. No satisfying conclusion.,0.7,,English
This film makes me laugh and cry. Love the emotions conveyed.,0.15,,English
The actors fail to portray their characters well. Not credible.,0.7,,English
"Overall, this film is great! I would watch it again.",0.08,,English
Outstanding action scenes. Excited about the trilogy's conclusion.,0.12,,English
"Unfortunately, the plot of this film is too open-ended. No satisfying closure.",0.7,,English
I like how this film combines comedy with action. Highly entertaining.,0.15,,English
The visual effects and animation in this film are amazing. Impressed!,0.1,,English
The actors give a very good performance. I like the story.,0.12,,English
This film is very disappointing. Not worth the hype.,0.8,,English
Complex but very interesting plot. Big twist at the end!,0.1,,English
Too many over-the-top action scenes. Too many special effects.,0.6,,English
I don't understand the twist in the plot. A bit confusing.,0.7,,English
This film is interesting and provides a deep experience. I like it!,0.12,,English
The visual effects of this film are outstanding. Excited about the technical brilliance!,0.1,,English
Lack of character development makes this film weak. Not satisfying.,0.75,,English
I'm thrilled with how this film incorporates elements of science fiction.,0.2,,English
Interesting and surprising plot. Love the twist in the story.,0.15,,English
This film has a great emotional impact. Touching!,0.12,,English
The actors give a very good performance. I like the character development.,0.12,,English
The plot is quite ordinary but brought to life with great action.,0.25,,English
An extremely epic ending! Thrilled with the trilogy's conclusion.,0.08,,English
This film is great! I like the character development.,0.1,,English
I don't like the overly complex plot. Hard to follow.,0.7,,English
Very pleased with this film. Amazing action!,0.12,,English
Complex but very interesting plot. Big surprise at the end!,0.08,,English
The visual effects of this film are truly astonishing. Impressed!,0.1,,English
Deep emotional impact in this film makes me teary-eyed. I like it!,0.12,,English
Lack of tension in the plot makes me bored. No surprising elements.,0.7,,English
This film provides answers to many questions. Love the twist!,0.15,,English
A big surprise in the middle of the film! Thrilling action!,0.12,,English
The visual effects and animation in this film are truly amazing. Impressed!,0.1,,English
The actors give an outstanding performance. I like this story!,0.12,,English
Thrilling action but a somewhat weak plot. Not balanced.,0.5,,English
I'm thrilled with how this film brings back elements from previous movies.,0.15,,English
Lack of character development makes this film weak. Not satisfying.,0.8,,English
The visual effects and animation in this film are amazing. Impressed!,0.05,,English
"This film is a masterpiece! The storytelling is exceptional, and the performances are outstanding.",0.05,,English
I'm underwhelmed by the plot twists. Not as impactful as expected.,0.6,,English
The emotional depth of the characters and the engaging plot make it a must-watch! Highly recommended.,0.1,,English
"A cinematic marvel! The visuals are breathtaking, and the narrative is spellbinding.",0.08,,English
The abundance of action scenes is exhilarating. A bit overwhelming at times.,0.3,,English
I'm captivated from start to finish. The storytelling is compelling!,0.12,,English
Avengers: Endgame falls short of expectations. The storyline is too predictable.,0.7,,English
The fusion of science fiction elements adds a unique and intriguing dimension. Fascinating!,0.15,,English
This film resonates with profound emotions. A truly remarkable experience.,0.1,,English
A visual spectacle that leaves a lasting impression. Absolutely mesmerizing!,0.06,,English
The film struggles to meet the anticipated standards. Falls flat in some areas.,0.65,,English
"The action sequences are mind-blowing, and the plot twists keep you on the edge of your seat!",0.1,,English
"The visual quality is top-notch, creating a visual feast for the audience. Impressive special effects!",0.08,,English
The delivery of dialogue by the main actors lacks conviction. Not entirely convincing.,0.75,,English
The intricate storyline adds depth to the narrative. A genuinely captivating experience!,0.13,,English
The action scenes are intense and impactful. Some may find the special effects excessive.,0.4,,English
The film creates an immersive atmosphere that is both captivating and emotionally resonant. Impressive!,0.08,,English
Outstanding performances from the cast. The narrative is enriched with character development.,0.12,,English
I find the plot of this film to be overly complex. A bit hard to follow.,0.65,,English
A surprising twist in the plot keeps the audience engaged. Thrilling from start to finish!,0.1,,English
The visual effects are nothing short of spectacular. Truly impressed!,0.08,,English
The open-ended nature of the plot leaves room for interpretation. Some may find it unsatisfying.,0.7,,English
This film evokes both laughter and tears. A testament to its emotional resonance.,0.12,,English
The actors struggle to embody their characters convincingly. Lacks credibility.,0.7,,English
"Overall, the film is a great watch! I would gladly revisit it.",0.08,,English
The action scenes are exceptional. The trilogy's conclusion is nothing short of epic!,0.1,,English
"Unfortunately, the plot leaves too many loose ends. The closure is unsatisfying.",0.7,,English
"I appreciate the blend of comedy and action, creating an entertaining experience.",0.12,,English
The visual effects and animation are truly awe-inspiring. Impressively done!,0.08,,English
The cast delivers commendable performances. The narrative is enriched with a compelling story.,0.12,,English
This film is highly disappointing. It fails to live up to the hype.,0.8,,English
The plot is intricate but highly engaging. A major twist awaits at the end!,0.1,,English
Excessive over-the-top action scenes. The abundance of special effects may be overwhelming.,0.4,,English
The twist in the plot leaves me puzzled. Somewhat confusing.,0.7,,English
The film strikes a balance between being intriguing and emotionally resonant. I thoroughly enjoy it!,0.12,,English
The visual effects leave a lasting impact. The technical brilliance is truly impressive!,0.08,,English
Weak character development renders the film less satisfying. A missed opportunity.,0.75,,English
I'm impressed with how the film incorporates elements of science fiction.,0.15,,English
The plot unfolds with interesting twists and turns. I appreciate the unpredictable story.,0.12,,English
This film packs a powerful emotional punch. Touching and heartwarming!,0.12,,English
The cast delivers exceptional performances. The character development is praiseworthy.,0.12,,English
"While the plot is somewhat ordinary, the film is elevated by its stellar action sequences.",0.22,,English
The epic conclusion is nothing short of thrilling! A satisfying end to the trilogy.,0.06,,English
This film is outstanding! I appreciate the well-crafted character development.,0.08,,English
I struggle to comprehend the overly complex plot. It's challenging to follow.,0.65,,English
I'm thoroughly pleased with this film. The action is nothing short of amazing!,0.12,,English
A complex yet engaging plot. A major surprise awaits at the end!,0.06,,English
The visual effects are absolutely outstanding. Truly impressed!,0.08,,English
The deep emotional impact resonates throughout the film. I find it truly moving!,0.12,,English
The lack of tension in the plot leaves me bored. The absence of surprising elements is noticeable.,0.65,,English
The film answers many lingering questions. The plot twist adds an extra layer of intrigue!,0.13,,English
A surprising twist in the middle of the film keeps the audience on the edge of their seats!,0.1,,English
The visual effects and animation are truly amazing. I'm thoroughly impressed!,0.08,,English
The cast delivers outstanding performances. I'm captivated by the story!,0.12,,English
"The action is thrilling, but the plot feels somewhat weak. The balance is not quite there.",0.5,,English
I'm thrilled by how the film reintroduces elements from previous movies.,0.12,,English
"Avengers: Endgame is an absolute masterpiece! The film seamlessly weaves together a complex yet engaging narrative, leaving audiences on the edge of their seats. The performances from the cast are stellar, bringing emotional depth to the characters. The visual effects are nothing short of breathtaking, creating a cinematic experience that will be remembered for years to come.",0.05,,English
"While the plot of Avengers: Endgame takes unexpected turns, I found some of the twists to be underwhelming. The film, however, compensates with visually stunning sequences and impressive action scenes. The emotional moments hit hard, showcasing the bond between the characters. Overall, a solid addition to the Marvel Cinematic Universe.",0.3,,English
