Review,Score,"Are there ways for you to generate more data? Spliting up sentences, would that help?",Language
"This film transcends the typical superhero genre, delivering a profound and emotionally resonant story. The characters undergo significant development, and the plot is both intricate and thought-provoking. Avengers: Endgame is a rollercoaster of emotions, from heart-wrenching moments to triumphant victories. A true cinematic achievement.",0.08,,English
"Avengers: Endgame is a cinematic marvel that exceeds expectations. The narrative is rich with depth, exploring themes of sacrifice, friendship, and resilience. The visual spectacle is awe-inspiring, with each frame meticulously crafted. The performances of the cast elevate the film, making it a fitting conclusion to the epic saga.",0.06,,English
"The film's abundance of action scenes contributes to a high-energy viewing experience, but at times, it feels a bit overwhelming. Despite this, Avengers: Endgame succeeds in delivering a satisfying and emotional conclusion to the characters' journeys. The special effects are top-notch, creating memorable visuals that linger in the mind.",0.22,,English
"I was captivated from start to finish by the storytelling prowess of Avengers: Endgame. The film skillfully blends suspense, humor, and heart, creating a narrative that keeps the audience invested. The characters' arcs are well-developed, adding emotional weight to the overall story. A must-watch for fans and newcomers alike.",0.12,,English
"Avengers: Endgame falls short of the high expectations set by its predecessors. While the film has its moments, the plot feels somewhat predictable, and certain character choices may leave fans wanting more. The visual effects, however, remain a highlight, showcasing the technological prowess of modern filmmaking.",0.7,,English
"The infusion of science fiction elements into Avengers: Endgame adds an intriguing layer to the narrative. The exploration of time travel and alternate realities introduces complexity to the plot, keeping viewers engaged. The film successfully balances these elements, creating a unique and thought-provoking superhero experience.",0.15,,English
"This film goes beyond typical superhero fare, delving into the emotional struggles of the characters. The depth of emotion conveyed by the cast is commendable, making Avengers: Endgame a touching and memorable cinematic journey. The intricate plot weaves together various storylines, providing a satisfying conclusion to the overarching narrative.",0.1,,English
"Avengers: Endgame is a visual spectacle that pushes the boundaries of filmmaking. The special effects are nothing short of mesmerizing, creating breathtaking scenes that transport the audience to otherworldly realms. The film's technical brilliance is a testament to the evolving landscape of cinematic artistry.",0.06,,English
"While Avengers: Endgame has its moments of brilliance, it stumbles in maintaining a consistent narrative flow. Some plot points feel rushed, leaving certain character arcs underexplored. Despite these shortcomings, the film delivers on the spectacle, with action sequences that leave a lasting impression.",0.5,,English
"The action sequences in Avengers: Endgame are nothing short of mind-blowing. The choreography and visual effects combine to create an adrenaline-pumping experience. The plot twists and turns keep the audience guessing, and the film successfully ties up loose ends from previous installments. A satisfying addition to the Marvel saga.",0.1,,English
"The visual quality of Avengers: Endgame is a standout feature, with each frame meticulously crafted to perfection. The attention to detail in the special effects elevates the film, creating a visually stunning masterpiece. The use of CGI seamlessly blends with practical effects, resulting in a cinematic experience that dazzles the senses.",0.08,,English
"While the main actors deliver commendable performances, there are moments where the dialogue falls flat. The emotional beats are occasionally overshadowed by the grandeur of the action sequences. Despite this, the characters' journeys and the film's overarching themes leave a lasting impact.",0.75,,English
"The complexity of the storyline in Avengers: Endgame adds depth to the overall narrative. The film weaves together multiple threads, providing a rich and engaging experience. Each character's contribution to the plot is significant, creating a tapestry of interconnected stories that converge in a satisfying climax.",0.13,,English
"The film strikes a balance between intense action scenes and emotionally charged moments. The visual spectacle is complemented by character development, making Avengers: Endgame a well-rounded cinematic experience. The narrative unfolds organically, keeping viewers invested in the fates of their favorite characters.",0.4,,English
"Avengers: Endgame immerses the audience in a visually stunning world, from the intricate details of set design to the breathtaking landscapes. The film's ability to create a vivid and immersive atmosphere is a testament to the creativity and skill of the filmmaking team. A visual feast for cinephiles.",0.08,,English
"The performances of the cast in Avengers: Endgame are outstanding, particularly in conveying the emotional weight of the characters' journeys. The nuanced portrayals add depth to the narrative, creating a sense of connection between the audience and the heroes. A testament to the actors' commitment to their roles.",0.12,,English
"While the overarching plot of Avengers: Endgame is ambitious, it occasionally feels overly complex. Some narrative choices may leave viewers scratching their heads, impacting the overall coherence of the story. Despite this, the film's emotional resonance and stunning visuals make it a worthwhile watch.",0.65,,English
"The twist in Avengers: Endgame's plot, particularly towards the end, is a masterstroke that elevates the film to new heights. The unexpected turns add a layer of unpredictability, keeping the audience engaged. The resolution of character arcs is satisfying, providing closure to a saga that has spanned multiple films.",0.1,,English
"The visual effects in Avengers: Endgame are a spectacle to behold. The seamless integration of CGI and practical effects creates a visual feast for audiences. The attention to detail in the design of characters, locations, and action sequences contributes to the film's overall visual excellence.",0.08,,English
"The open-ended nature of Avengers: Endgame's plot allows for interpretation and speculation. While some may appreciate the ambiguity, others may find it leaves too much unanswered. The film leaves room for potential future developments in the Marvel Cinematic Universe.",0.7,,English
"Avengers: Endgame expertly balances moments of levity and heart-wrenching emotion. The film's ability to evoke laughter and tears showcases its versatility in storytelling. The emotional depth of the characters is portrayed with authenticity, creating a connection with the audience.",0.12,,English
"The actors' portrayals in Avengers: Endgame occasionally lack the necessary conviction, affecting the overall impact of certain scenes. While the performances are generally solid, there are instances where the emotional beats could have been more resonant. A minor flaw in an otherwise impressive ensemble cast.",0.7,,English
"Overall, Avengers: Endgame stands as a testament to the culmination of a cinematic journey. The film seamlessly weaves together a narrative that pays homage to its predecessors while forging a new path. The emotional resonance and epic scale make it a fitting conclusion to the Marvel Cinematic Universe.",0.08,,English
"The action sequences in Avengers: Endgame are exceptional, delivering a level of intensity that keeps audiences on the edge of their seats. The culmination of the trilogy is marked by jaw-dropping moments and a sense of grandeur. A must-watch for fans of the superhero genre.",0.1,,English
"Despite its merits, Avengers: Endgame leaves certain plot threads dangling, resulting in an unsatisfying conclusion for some characters. The open-ended nature of certain arcs may leave fans yearning for more closure. However, the film's strengths lie in its visual spectacle and emotional resonance.",0.7,,English
"The infusion of humor and action in Avengers: Endgame creates a dynamic and entertaining experience. The witty dialogue and comedic moments provide a welcome respite from the intense action sequences. The film strikes a balance between gravity and levity, catering to a diverse audience.",0.12,,English
"The visual effects and animation in Avengers: Endgame are nothing short of awe-inspiring. The level of detail in each frame, especially during action sequences, showcases the dedication of the filmmaking team. A technological marvel that pushes the boundaries of what is achievable in cinema.",0.08,,English
"The cast of Avengers: Endgame delivers commendable performances, bringing depth and authenticity to their characters. The chemistry among the actors enhances the emotional resonance of the film, making the audience invest in the fates of the superheroes. A testament to the ensemble's acting prowess.",0.12,,English
"While Avengers: Endgame has its moments of brilliance, the balance between thrilling action and a cohesive plot feels somewhat skewed. Some action scenes may overshadow the narrative, impacting the overall pacing. A more harmonious blend would have elevated the film even further.",0.5,,English
The incorporation of elements from previous films in Avengers: Endgame adds a layer of nostalgia for long-time fans. The callbacks and references create a sense of continuity within the Marvel Cinematic Universe. A treat for those who have followed the franchise from its inception.,0.12,,English
"Avengers: Endgame is a cinematic triumph, seamlessly blending action, emotion, and spectacle. The character arcs are satisfyingly concluded, and the visual effects are nothing short of groundbreaking.",0.06,,English
"While the film's action sequences are thrilling, some plot twists feel forced, and certain character developments lack depth. Nevertheless, the visual grandeur and emotional resonance make it a memorable entry in the Marvel universe.",0.3,,English
"The intricate plot weaves together multiple timelines, creating a narrative tapestry that keeps the audience engaged. The stellar performances from the cast and the jaw-dropping visuals make Avengers: Endgame an epic conclusion to the saga.",0.08,,English
"Avengers: Endgame delivers on the promise of an emotional rollercoaster. The characters face challenges that push them to their limits, and the film successfully balances humor with heart-wrenching moments. A fitting and visually stunning end to the Marvel Cinematic Universe's Infinity Saga.",0.07,,English
"While the film provides closure to long-standing storylines, certain character arcs feel rushed and underexplored. The action sequences, however, are a spectacle, with each frame meticulously crafted for maximum impact. Avengers: Endgame is a bittersweet farewell to beloved characters and an era.",0.4,,English
"The emotional depth of Avengers: Endgame is unparalleled in the superhero genre. The film explores themes of loss, sacrifice, and camaraderie, making it a poignant and resonant experience. The exceptional performances from the cast elevate the narrative to new heights.",0.07,,English
"Despite its ambitious narrative, Avengers: Endgame stumbles with pacing issues, leaving some moments feeling rushed. However, the film compensates with breathtaking visuals and epic action sequences, providing a thrilling cinematic experience.",0.5,,English
"The time-travel element adds complexity to the plot, creating an intricate and thought-provoking narrative. Avengers: Endgame manages to deliver both spectacle and substance, with the characters' emotional journeys taking center stage. A remarkable conclusion to the Marvel Cinematic Universe.",0.12,,English
"Avengers: Endgame's visual effects are a technological marvel, pushing the boundaries of what can be achieved in cinema. The film's meticulous attention to detail, especially in the action sequences, showcases the dedication of the filmmaking team. A visual spectacle that leaves a lasting impression.",0.08,,English
"While the film provides closure to some character arcs, certain plot points are left unresolved, leaving room for future exploration. Avengers: Endgame, however, excels in delivering awe-inspiring action and emotional resonance. A bittersweet farewell to an era of superhero storytelling.",0.3,,English
"The film's action-packed sequences are a visual feast, complemented by a gripping storyline. Avengers: Endgame successfully juggles multiple characters, giving each a moment to shine. A monumental conclusion to the Infinity Saga, filled with twists and turns.",0.1,,English
"Avengers: Endgame's CGI and practical effects seamlessly blend to create a visually stunning experience. The film's attention to detail, from character designs to set pieces, is commendable. A cinematic spectacle that pays homage to a decade of Marvel storytelling.",0.08,,English
"While the film's emotional beats resonate, certain moments may feel forced, impacting the overall authenticity. Nevertheless, Avengers: Endgame delivers on the promise of an epic conclusion, with memorable action sequences and a visually striking finale.",0.3,,English
"The complexity of Avengers: Endgame's narrative is both its strength and weakness. While some may find the intricate plot engaging, others may feel overwhelmed by its layers. Nonetheless, the film's emotional impact and breathtaking visuals make it a compelling watch.",0.4,,English
"Avengers: Endgame strikes a balance between humor and heart, with witty dialogue and poignant character moments. The film's ability to blend lightheartedness with intense action is a testament to its storytelling prowess. A fitting end to a cinematic saga that has captured the hearts of audiences worldwide.",0.12,,English
"While the film attempts to tie up loose ends, certain character resolutions may leave fans divided. Avengers: Endgame, however, excels in delivering epic battles and jaw-dropping visuals. A must-watch for those who have invested in the Marvel Cinematic Universe.",0.25,,English
"The time-travel narrative in Avengers: Endgame adds complexity and depth, offering a fresh take on the superhero genre. The film navigates between various timelines with finesse, creating a cohesive and engaging narrative. A thrilling and emotionally charged conclusion to the Infinity Saga.",0.1,,English
"Avengers: Endgame's pacing is a triumph, seamlessly transitioning between high-octane action and character-driven moments. The film's ability to evoke laughter and tears showcases its versatility. A remarkable achievement in cinematic storytelling.",0.06,,English
"While Avengers: Endgame provides closure to some storylines, certain character arcs feel underdeveloped. The film, however, compensates with epic battles and stunning visuals. A rollercoaster of emotions that serves as a fitting end to an era of superhero storytelling.",0.4,,English
"The emotional weight of Avengers: Endgame's narrative is felt throughout, with character arcs that tug at the heartstrings. The film successfully weaves together humor, action, and poignancy. A cinematic spectacle that pays homage to the journey of iconic characters.",0.07,,English
"Despite a few narrative hiccups, Avengers: Endgame delivers on the promise of an epic conclusion. The film's visual effects are nothing short of breathtaking, creating a cinematic experience that dazzles. A fitting end to a saga that has defined the superhero genre.",0.12,,English
"The film's ambitious scope is evident in its grandiose action sequences and intricate plot twists. Avengers: Endgame successfully juggles multiple storylines, providing closure to beloved characters. A visually stunning and emotionally resonant epic that marks the end of an era.",0.1,,English
"While Avengers: Endgame is a visual spectacle, certain plot twists may feel predictable to keen-eyed viewers. Nevertheless, the film delivers on emotional resonance and epic action sequences. A bittersweet farewell to characters who have become cultural icons.",0.3,,English
The time-travel narrative of Avengers: Endgame introduces an intriguing complexity to the plot. The film manages to balance multiple timelines while keeping the audience engaged. A satisfying and visually impressive conclusion to the Marvel Cinematic Universe's Infinity Saga.,0.15,,English
"Avengers: Endgame's action sequences are a feast for the eyes, with every punch and explosion meticulously choreographed. The film's attention to detail, especially in the visual effects, elevates the viewing experience. A thrilling and visually stunning conclusion to the Marvel Cinematic Universe.",0.08,,English
"While the film delivers on emotional beats, certain character resolutions may feel rushed. Avengers: Endgame, however, excels in creating epic and memorable action sequences. A rollercoaster of emotions that serves as a fitting end to the Infinity Saga.",0.25,,English
"The film's intricate plot adds layers of complexity, providing a fresh take on superhero storytelling. Avengers: Endgame seamlessly weaves together various storylines, creating a narrative tapestry that captivates. A visually striking and emotionally charged conclusion to a cinematic era.",0.1,,English
"Avengers: Endgame's CGI and practical effects work in harmony, creating a visually stunning cinematic experience. The attention to detail in the visual effects enhances the film's overall impact. A testament to the technological achievements in modern filmmaking.",0.08,,English
"While Avengers: Endgame attempts to provide closure to long-standing storylines, some resolutions may feel rushed. The film, however, compensates with epic battles and visually stunning set pieces. A rollercoaster of emotions that marks the end of a remarkable era in superhero filmmaking.",0.3,,English
"The emotional depth of Avengers: Endgame's narrative is a standout feature, with characters facing profound challenges. The film's ability to balance intense action with poignant moments is commendable. A fitting and emotionally resonant conclusion to the Marvel Cinematic Universe.",0.07,,English
"The film's pacing is a testament to its storytelling finesse, seamlessly transitioning between action-packed sequences and character-driven moments. Avengers: Endgame's ability to evoke a wide range of emotions showcases its narrative depth. A cinematic triumph that serves as a fitting end to a beloved saga.",0.06,,English
"Avengers: Endgame's visual effects are a technological marvel, pushing the boundaries of what can be achieved in cinema. The film's meticulous attention to detail, especially in the action sequences, showcases the dedication of the filmmaking team. A visual spectacle that leaves a lasting impression.",0.08,,English
"While the film provides closure to some character arcs, certain plot points are left unresolved, leaving room for future exploration. Avengers: Endgame, however, excels in delivering awe-inspiring action and emotional resonance. A bittersweet farewell to an era of superhero storytelling.",0.3,,English
"The time-travel element adds complexity to the plot, creating an intricate and thought-provoking narrative. Avengers: Endgame manages to deliver both spectacle and substance, with the characters' emotional journeys taking center stage. A remarkable conclusion to the Marvel Cinematic Universe.",0.12,,English
"Avengers: Endgame's pacing is a triumph, seamlessly transitioning between high-octane action and character-driven moments. The film's ability to evoke laughter and tears showcases its versatility. A remarkable achievement in cinematic storytelling.",0.06,,English
"While Avengers: Endgame provides closure to some storylines, certain character arcs feel underdeveloped. The film, however, compensates with epic battles and stunning visuals. A rollercoaster of emotions that serves as a fitting end to an era of superhero storytelling.",0.4,,English
"The emotional weight of Avengers: Endgame's narrative is felt throughout, with character arcs that tug at the heartstrings. The film successfully weaves together humor, action, and poignancy. A cinematic spectacle that pays homage to the journey of iconic characters.",0.07,,English
"Despite a few narrative hiccups, Avengers: Endgame delivers on the promise of an epic conclusion. The film's visual effects are nothing short of breathtaking, creating a cinematic experience that dazzles. A fitting end to a saga that has defined the superhero genre.",0.12,,English
"The film's ambitious scope is evident in its grandiose action sequences and intricate plot twists. Avengers: Endgame successfully juggles multiple storylines, providing closure to beloved characters. A visually stunning and emotionally resonant epic that marks the end of an era.",0.1,,English
"While Avengers: Endgame is a visual spectacle, certain plot twists may feel predictable to keen-eyed viewers. Nevertheless, the film delivers on emotional resonance and epic action sequences. A bittersweet farewell to characters who have become cultural icons.",0.3,,English
The time-travel narrative of Avengers: Endgame introduces an intriguing complexity to the plot. The film manages to balance multiple timelines while keeping the audience engaged. A satisfying and visually impressive conclusion to the Marvel Cinematic Universe's Infinity Saga.,0.15,,English
"Avengers: Endgame's action sequences are a feast for the eyes, with every punch and explosion meticulously choreographed. The film's attention to detail, especially in the visual effects, elevates the viewing experience. A thrilling and visually stunning conclusion to the Marvel Cinematic Universe.",0.08,,English
"While the film delivers on emotional beats, certain character resolutions may feel rushed. Avengers: Endgame, however, excels in creating epic and memorable action sequences. A rollercoaster of emotions that serves as a fitting end to the Infinity Saga.",0.25,,English
"The film's intricate plot adds layers of complexity, providing a fresh take on superhero storytelling. Avengers: Endgame seamlessly weaves together various storylines, creating a narrative tapestry that captivates. A visually striking and emotionally charged conclusion to a cinematic era.",0.1,,English
"Avengers: Endgame's CGI and practical effects work in harmony, creating a visually stunning cinematic experience. The attention to detail in the visual effects enhances the film's overall impact. A testament to the technological achievements in modern filmmaking.",0.08,,English
"While Avengers: Endgame attempts to provide closure to long-standing storylines, some resolutions may feel rushed. The film, however, compensates with epic battles and visually stunning set pieces. A rollercoaster of emotions that marks the end of a remarkable era in superhero filmmaking.",0.3,,English
"The emotional depth of Avengers: Endgame's narrative is a standout feature, with characters facing profound challenges. The film's ability to balance intense action with poignant moments is commendable. A fitting and emotionally resonant conclusion to the Marvel Cinematic Universe.",0.07,,English
"The film's pacing is a testament to its storytelling finesse, seamlessly transitioning between action-packed sequences and character-driven moments. Avengers: Endgame's ability to evoke a wide range of emotions showcases its narrative depth. A cinematic triumph that serves as a fitting end to a beloved saga.",0.06,,English
Masterpiece,0.05,,English
Spectacular,0.08,,English
Emotional,0.07,,English
Epic,0.06,,English
Thrilling,0.1,,English
Compelling,0.12,,English
Underwhelming,0.6,,English
Intriguing,0.15,,English
Touching,0.1,,English
Mesmerizing,0.06,,English
Flat,0.65,,English
Exhilarating,0.1,,English
Impressive,0.08,,English
Inconsistent,0.5,,English
Breathtaking,0.08,,English
Outstanding,0.12,,English
Complex,0.65,,English
Surprising,0.1,,English
Spectacular,0.08,,English
Unsatisfying,0.7,,English
Moving,0.12,,English
Incredible,0.08,,English
Weak,0.75,,English
Great,0.08,,English
Overwhelming,0.4,,English
Confusing,0.7,,English
Ni hao,NaN,,Chinese
Hen tai fei chang hao,0.001,,Chinese
Captivating,0.12,,English
Top-notch,0.08,,English
Disappointing,0.8,,English
Challenging,0.65,,English
Intense,0.1,,English
Impressive,0.08,,English
Missed,0.75,,English
Entertaining,0.12,,English
Over-the-top,0.4,,English
Twist,0.7,,English
Striking,0.12,,English
Ordinary,0.65,,English
Amazing,0.12,,English
Engaging,0.06,,English
Complex,0.1,,English
Unconvincing,0.75,,English
Enriching,0.13,,English
Impactful,0.4,,English
Intriguing,0.12,,English
Moving,0.12,,English
Weak,0.5,,English
Reintroduces,0.12,,English
Action-packed,0.1,,English
Emotionally powerful,0.07,,English
Satisfying conclusion,0.08,,English
Epic journey,0.06,,English
Visually stunning,0.08,,English
Intricate plot,0.12,,English
Unexpected twists,0.1,,English
Underwhelming moments,0.6,,English
Character depth,0.12,,English
Breathtaking visuals,0.08,,English
Flat narrative,0.65,,English
Highly engaging,0.12,,English
Impressive effects,0.08,,English
Inconsistent pacing,0.5,,English
Compelling story,0.12,,English
Outstanding performances,0.12,,English
Weak characterizations,0.75,,English
Great watch,0.08,,English
Overwhelming action,0.4,,English
Confusing twists,0.7,,English
Captivating storytelling,0.12,,English
Top-notch effects,0.08,,English
Disappointing resolution,0.8,,English
Challenging narrative,0.65,,English
Intense sequences,0.1,,English
Impressive visuals,0.08,,English
Missed opportunity,0.75,,English
Entertaining blend,0.12,,English
Over-the-top moments,0.4,,English
Plot twist,0.7,,English
Striking visuals,0.12,,English
Ordinary plot,0.65,,English
Amazing action,0.12,,English
Emotionally resonant,0.06,,English
Nani kore,0.997413,,Nippon
Complex narrative,0.1,,English
Unconvincing acting,0.75,,English
Enriching storyline,0.13,,English
Impactful moments,0.4,,English
Intriguing twists,0.12,,English
Moving scenes,0.12,,English
Weak climax,0.5,,English
Reintroduces elements,0.12,,English
Diabolic,NaN,,English
Unexpected turns,0.1,,English
Spectacular effects,0.08,,English
Masterful storytelling,0.05,,English
Epic conclusion to Marvel saga,0.08,,English
Emotional rollercoaster with heroes,0.07,,English
Spectacular visuals and storytelling,0.08,,English
"Thrilling action, satisfying character arcs",0.06,,English
"Visually stunning, emotionally resonant journey",0.08,,English
"Compelling story, outstanding performances",0.12,,English
"Intricate plot, unexpected twists",0.1,,English
"Underwhelming moments, weak characterizations",0.6,,English
"Breathtaking visuals, engaging narrative",0.08,,English
"Top-notch effects, captivating storytelling",0.08,,English
Epik,0.7,,Malay
Hebat,0.1,,Malay
Mengecewakan,0.8,,Malay
Menarik,0.2,,Malay
Sedih,0.99,,Malay
Luahan perasaan,0.2,,Malay
Mengagumkan,0.1,,Malay
Emosi,0.2,,Malay
Menghiburkan,0.1,,Malay
Tidak memuaskan,0.7,,Malay
Menggemparkan,0.1,,Malay
Kembara epik,0.1,,Malay
Menakjubkan,0.1,,Malay
Kacau bilau,0.8,,Malay
Menawan hati,0.2,,Malay
Pening,0.7,,Malay
Berkesan,0.2,,Malay
Mengujakan,0.1,,Malay
Sederhana and teruk,0.6,,Malay
Sempurna,0.1,,Malay
